universityId,universityName,nirfRank,city,state,courseId,courseName,category,fees,admissionCriteria,duration,tags,universityLink,courseLink
iit-bombay,"Indian Institute of Technology Bombay",3,"Mumbai","India",iit-bombay-cs,"Computer Science and Engineering","Engineering","Rs. 2,28,000","JEE Advanced","4 Years","AI,Machine Learning,Data Science","https://www.iitb.ac.in/","https://www.cse.iitb.ac.in/"
iit-bombay,"Indian Institute of Technology Bombay",3,"Mumbai","India",iit-bombay-ee,"Electrical Engineering","Engineering","Rs. 2,28,000","JEE Advanced","4 Years","VLSI,Power Systems,Signal Processing","https://www.iitb.ac.in/","https://www.ee.iitb.ac.in/"
iit-bombay,"Indian Institute of Technology Bombay",3,"Mumbai","India",iit-bombay-me,"Mechanical Engineering","Engineering","Rs. 2,28,000","JEE Advanced","4 Years","Robotics,Thermodynamics,Fluid Mechanics","https://www.iitb.ac.in/","https://www.me.iitb.ac.in/"
iit-bombay,"Indian Institute of Technology Bombay",3,"Mumbai","India",iit-bombay-mba,"Master of Business Administration","Business","Rs. 14,00,000","CAT, GMAT","2 Years","Finance,Marketing,Operations","https://www.iitb.ac.in/","https://www.som.iitb.ac.in/"
iit-bombay,"Indian Institute of Technology Bombay",3,"Mumbai","India",iit-bombay-phy,"M.Sc. in Physics","Arts & Science","Rs. 50,000","JAM","2 Years","Quantum Mechanics,Astrophysics,Condensed Matter","https://www.iitb.ac.in/","http://www.phy.iitb.ac.in/"
iit-delhi,"Indian Institute of Technology Delhi",2,"New Delhi","India",iit-delhi-cs,"Computer Science and Engineering","Engineering","Rs. 2,20,000","JEE Advanced","4 Years","Algorithms,AI,Cybersecurity","https://home.iitd.ac.in/","https://www.cse.iitd.ac.in/"
iit-delhi,"Indian Institute of Technology Delhi",2,"New Delhi","India",iit-delhi-che,"Chemical Engineering","Engineering","Rs. 2,20,000","JEE Advanced","4 Years","Process Design,Polymers,Thermodynamics","https://home.iitd.ac.in/","https://chemical.iitd.ac.in/"
iit-delhi,"Indian Institute of Technology Delhi",2,"New Delhi","India",iit-delhi-mba,"Master of Business Administration","Business","Rs. 11,20,000","CAT","2 Years","Marketing,Finance,Consulting","https://home.iitd.ac.in/","https://dms.iitd.ac.in/"
iit-delhi,"Indian Institute of Technology Delhi",2,"New Delhi","India",iit-delhi-design,"Bachelor of Design","Arts & Science","Rs. 2,20,000","UCEED","4 Years","Product Design,Visual Communication,Interaction Design","https://home.iitd.ac.in/","https://design.iitd.ac.in/"
iit-delhi,"Indian Institute of Technology Delhi",2,"New Delhi","India",iit-delhi-biotech,"Biotechnology and Biochemical Engineering","Engineering","Rs. 2,20,000","JEE Advanced","4 Years","Genomics,Drug Delivery,Bioprocess Engineering","https://home.iitd.ac.in/","https://dbeb.iitd.ac.in/"
iit-madras,"Indian Institute of Technology Madras",1,"Chennai","India",iit-madras-cs,"Computer Science and Engineering","Engineering","Rs. 2,10,000","JEE Advanced","4 Years","AI,Theory,Systems","https://www.iitm.ac.in/","https://www.cse.iitm.ac.in/"
iit-madras,"Indian Institute of Technology Madras",1,"Chennai","India",iit-madras-aero,"Aerospace Engineering","Engineering","Rs. 2,10,000","JEE Advanced","4 Years","Aerodynamics,Propulsion,Avionics","https://www.iitm.ac.in/","https://aero.iitm.ac.in/"
iit-madras,"Indian Institute of Technology Madras",1,"Chennai","India",iit-madras-mba,"Master of Business Administration","Business","Rs. 11,50,000","CAT","2 Years","Strategy,Leadership,Data Analytics","https://www.iitm.ac.in/","https://doms.iitm.ac.in/"
iit-madras,"Indian Institute of Technology Madras",1,"Chennai","India",iit-madras-datascience,"BS in Data Science and Applications","Engineering","Rs. 3,00,000","Qualifier Exam","4 Years","Online Degree,Data Analytics,Programming","https://www.iitm.ac.in/","https://study.iitm.ac.in/ds/"
iit-madras,"Indian Institute of Technology Madras",1,"Chennai","India",iit-madras-hs,"Humanities and Social Sciences","Arts & Science","Rs. 2,10,000","HSEE","5 Years","Economics,Development Studies,English Studies","https://www.iitm.ac.in/","https://hss.iitm.ac.in/"
iisc-bangalore,"Indian Institute of Science Bangalore",4,"Bengaluru","India",iisc-bangalore-bio,"Biological Sciences","Arts & Science","Rs. 35,200","NEET, JEE","4 Years","Genetics,Ecology,Biochemistry","https://iisc.ac.in/","https://www.iisc.ac.in/admissions/ug-programme/"
iisc-bangalore,"Indian Institute of Science Bangalore",4,"Bengaluru","India",iisc-bangalore-ms,"M.Tech in CSE","Engineering","Rs. 58,200","GATE","2 Years","AI,Robotics,Theoretical CS","https://iisc.ac.in/","https://csa.iisc.ac.in/mtech-admissions/"
iisc-bangalore,"Indian Institute of Science Bangalore",4,"Bengaluru","India",iisc-bangalore-phd,"PhD Programs","Engineering","Rs. 75,600","GATE, NET","5 Years","Interdisciplinary Research,Science,Engineering","https://iisc.ac.in/","https://www.iisc.ac.in/admissions/research-programmes/"
iisc-bangalore,"Indian Institute of Science Bangalore",4,"Bengaluru","India",iisc-bangalore-mba,"Master of Management","Business","Rs. 5,10,000","CAT, GMAT","2 Years","Business Analytics,Technology Management","https://iisc.ac.in/","http://mgmt.iisc.ac.in/mmgr/"
iisc-bangalore,"Indian Institute of Science Bangalore",4,"Bengaluru","India",iisc-bangalore-earth,"Earth & Environmental Science","Arts & Science","Rs. 35,200","JEE Main/Advanced, NEET","4 Years","Climate Science,Geology,Paleobiology","https://iisc.ac.in/","https://ceas.iisc.ac.in/"
iit-kanpur,"Indian Institute of Technology Kanpur",5,"Kanpur","India",iit-kanpur-cs,"Computer Science and Engineering","Engineering","Rs. 2,15,000","JEE Advanced","4 Years","Cybersecurity,AI,Algorithms","https://www.iitk.ac.in/","https://www.cse.iitk.ac.in/"
iit-kanpur,"Indian Institute of Technology Kanpur",5,"Kanpur","India",iit-kanpur-eco,"Economics","Arts & Science","Rs. 2,15,000","JEE Advanced","4 Years","Econometrics,Macroeconomics,Development Economics","https://www.iitk.ac.in/","https://www.iitk.ac.in/eco/"
